本文,Level,尊敬語,謙譲語,丁寧語,フィールド
専属のトレーナーをお雇いになったそうですね。,1,1,0,0,仕事
この墓地には、明治のお雇い外国人たちが眠っています。,1,1,0,0,仕事
オリンピックの代表選手を、ご採用の予定ですか？,1,1,0,0,仕事
採用なさるなら、経験者がよろしいかと存じます。,1,0,1,0,仕事
そのようにお休みになってばかりでは、お暇を頂いてしまいますよ。,1,0,1,0,仕事
この会社の功労者でしたのに、お暇をお出しになったのですか？,1,1,0,0,仕事
今月いっぱいで、お暇を頂きたいのですが･･･。,1,0,1,0,仕事
ようやくお役御免となって、さっぱりいたしました。,1,0,1,0,仕事
とうとう会社をお辞めになるんですって？,1,1,0,0,仕事
オーナー！リーグ優勝を果たした監督を解任なさるんですか？,1,0,1,0,仕事
全員がご辞職とされると伺いましたが、どんなご事情がおありなんでしょうか？,1,1,0,0,仕事
大臣、この程は辞任されるには及びません。,1,0,1,0,仕事
すでにお聞き及びのことと存じますが・・・。,1,0,1,0,知っている
はい、確かにお聞きしております。,1,0,1,0,知っている
あの方なら、お顔は存じあげております。,1,0,1,0,知っている
グループにお顔見知りの方がいらっしゃると、心強いですね。,1,1,0,0,知っている
あの方とはお知り合いでしたか？,1,1,0,0,知っている
私の本心を、本当にお知りになりたいですか？,1,1,0,0,知っている
すでにお耳に入っているかもしれませんが・・・。,1,1,0,0,知っている
寡聞にして・・・、その件はまだ存じあげません。,1,0,1,0,知っている
奥様のご性格はあなたもよくご承知のはずですが。,1,1,0,0,知っている
そのことは初めからご承知なさっていたはずですが？,1,1,0,0,知っている
姉さんは義兄さんの苦労をご存知のはずだわ。,1,1,0,0,知っている
お得意様のお嬢さんだということを、ご存知なかったんですか？,1,1,0,0,知っている
あの方のことは、よく存じ上げております。,1,0,1,0,知っている
そんな事とは露とも存じませんでした。,1,0,1,0,知っている
弊誌は総合誌に成りますので、経済に疎いようでは困ります。,1,1,0,0,知っている
よろしければ、私がお伺いいたしましょうか。,1,0,1,0,質問
お尋ねの件、ただいま調整中でございます。,1,1,0,0,質問
その件は、あの方にお尋ねください。,1,1,0,0,質問
ご質問の時間は十分にご用意しておりますので、何なりとご質問ください。,1,1,0,0,質問
市長に、いくつかお尋ねさせて頂きます。,1,0,1,0,質問
ご質問なさる方は、お手数ですが、挙手をお願いいたします。,1,1,0,0,質問
ご出身のお国は？エジプトでしたか？,1,1,0,0,質問
ご子息は？／ご子息は何人いらっしゃるんですか？,1,1,0,0,質問
どんなお仕事をなさっていらっしゃるんですか？,1,1,0,0,質問
お勤め先はどちらでいらっしゃいますか？,1,1,0,0,質問
お住まいは？／お住まいはどちらになりますか？,1,1,0,0,質問
この書類に、ご住所とご署名をお願いいたします。,1,1,0,0,質問
おさしつかえなければ、ご住所をどうぞ。,1,1,0,0,質問
大変、不躾ですが、おいくつでいらっしゃいますか？,1,1,0,0,質問
ご年齢をお聞きしてもよろしいでしょうか？,1,1,0,0,質問
先生のお答えは、実に爽やかでした。,1,1,0,0,質問
それでは、ご質問にお答えします。,1,0,1,0,質問
私の質問にご回答をお願いいたします。,1,1,0,0,質問
お申し越しの件は、サービスセンターへお問い合わせください。,1,1,0,0,質問
一両日中に、お返事をいただきたいのですが。,1,1,0,0,質問
全く気のないご返事ですね。／色よいご返事を期待しております。,1,1,0,0,質問
上司に相談したうえで、早急にお返事させていただきます。,1,0,1,0,質問
そんなに焦らさないで、そろそろお返事をされたらどうでしょうか？,1,1,0,0,質問
ご出演のクイズ番組では、見事なご解答でした。,1,1,0,0,質問
早速、ご回答をいただき、ありがとうございっます。,1,1,0,0,質問
さすがはお客様相談室、実にきめ細かく対応なさっている。,1,1,0,0,質問
先生の方から嬉しいご返答をいただいております。,1,0,1,0,質問
氷が解けると「水になる」ではなくて「春になる」。これぞご名答でございますね。,1,1,0,0,質問
大臣、当該の件について、ご答弁なさってください。,1,1,0,0,質問
はっきりとご答弁なさってください。,1,1,0,0,質問
少々お伺いいたしますが、区役所はこの先でよろしかったでしょうか？,1,1,0,0,質問
少々お伺いいたしますが、行列のできるたい焼き屋さんはこのあたりでよろしかったでしょうか？,1,1,0,0,質問
恐れ入りますが、Kさんというお宅をご存じないでしょうか？,1,1,0,0,質問
少々、お尋ねしたいことがあるのですが、よろしいでしょか？,1,1,0,0,質問
お隣のお引越し先は、ご存じないでしょうか？,1,1,0,0,質問
どちらまでお行きになりたいのですか？,1,1,0,0,質問
そのまま真っすぐ、お進みになって下さい。,1,1,0,0,質問
こちらの通路を、お通りになって下さい。,1,1,0,0,質問
道順が分かりにくいので、私がご案内いたします。,1,0,1,0,質問
区役所でしたら、交差点を左にお曲がりになると右手に見えます。,1,1,0,0,質問
ゴールデン・ブリッジをお渡りになれば、すぐにご覧いただけます。,1,1,1,0,質問
横断歩道をおお渡り成る際は、大変ご注意してくください。,1,1,0,0,質問
段差がございますので、ご通行にはご注意ください。,1,1,0,0,質問
シベリヤ鉄道で大陸を横断なさったそうですね。,1,1,0,0,質問
道順がお分かりにならないのですか？,1,1,0,0,質問
大僧正は、今しがた、永眠なさいました。,1,1,0,0,死ぬ
係長は、ニューヨークで他界されました。,1,1,0,0,死ぬ
恩師は、お子様方に見守られて、安らかに息を引き取られました。,1,1,0,0,死ぬ
とうとう御往生なさいましたか。米寿なら十分に長生きされましたが……,1,1,0,0,死ぬ
老師様は、百歳というご高齢で大往生を遂げられました。,1,1,0,0,死ぬ
先生は、今しがた、お旅立ちになりました。,1,1,0,0,死ぬ
安らかなお顔で、眠るようにお亡くなりになりました。,1,1,0,0,死ぬ
お父様は、おいくつでご逝去なさいましたか？,1,1,0,0,死ぬ
大臣は志半ばでお果てになりました。,1,1,0,0,死ぬ
貴方様も私も、いつ天からお迎えが来ても自然な年齢ですから。,1,1,0,0,死ぬ
お爺様に最後のお別れを致しましょう。,1,0,1,0,死ぬ
ご出棺です。皆様、合掌なさってお見送り下さい。,1,1,0,0,死ぬ
今年の春にはお元気でしたのに、急逝なさるなんて、信じられません。,1,1,0,0,死ぬ
惜しみて余りあるご殉職でしたね。,1,1,0,0,死ぬ
警部が殉職なさって、もう十年ですか。,1,1,0,0,死ぬ
明日は、キリストがご昇天された日となります。,1,1,0,0,死ぬ
先代は惜しまれつつ、その人生に幕を引かれました。,1,1,0,0,死ぬ
あの若さでご逝去なさるとは、大変心苦しい限りです。,1,1,0,0,死ぬ
この年の瀬にご不幸がおありで、何かとご多忙と存じます。,1,1,0,0,死ぬ
昨日、会長が息を引き取られました。,1,1,0,0,死ぬ
消え入るようなご臨終でございました。,1,1,0,0,死ぬ
奥様がご逝去されて、もう七年になるのでしょうか。,1,1,0,0,死ぬ
お母様の今わの際に、傍におられたのでしょうか？,1,1,0,0,死ぬ
シスターは安寧のもと、天国へ導かれました。,1,1,0,0,死ぬ
中也様も、人々から惜しまれつつ夭逝されたお一人です。,1,1,0,0,死ぬ
御命日が近々となりましたね、今年は何回忌でいらっしゃいますか。,1,1,0,0,死ぬ
今朝、ご遺体が海岸で発見されたそうです。,1,1,0,0,死ぬ
御忌日には、必ず法華堂へ参拝しております。,1,0,1,0,死ぬ
この崖から転落などしたら、ひとたまりもございませんね。,1,1,0,0,死ぬ
祖母たちは、心から御浄土を信奉しておりました。,1,0,1,0,死ぬ
先生のお言いつけ、必ず守らせていただきます。,1,0,1,0,支配
旦那様は、多くのご用事をお言いつけになりました。,1,1,0,0,支配
親方の仰せは、道理に適っていましたよ。,1,1,0,0,支配
社長から、お供を仰せつかっております。,1,0,1,0,支配
何なりと、仰せつけください。,1,1,0,0,支配
必ず、仰せの通りにいたします。,1,0,1,0,支配
先生のお指図通りにいたします。,1,0,1,0,支配
先生にお従いになっていれば、間違いはごさいません。,1,1,0,0,支配
幹事長には、選挙の準備を始めるようにお命じになったのですね？,1,1,0,0,支配
商品の偽装は、社長のあなたが命令なさったんですね？,1,1,0,0,支配
監督、最終回の守りは見事なご采配でした。,1,1,0,0,支配
適切なご指示をいただきまして、恐縮でございます。,1,1,0,0,支配
このようにご指示なさったのは、なぜですか？,1,1,0,0,支配
オリンピック報道を、指揮なさるそうですね。,1,1,0,0,支配
祭りを取り仕切られるのは、大変でしょうね。,1,1,0,0,支配
お仕着せの規則は反発されるだけございます。,1,1,0,0,支配
そのようなルールでお縛りになっても、私は自由にさせていただきます。,1,0,1,0,支配
厳しいお達し、何とも痛み入ります。,1,1,0,0,支配
あちら様だけお咎め無しでは、不公平ではございませんか？,1,1,0,0,支配
どうしてまた、規則をお破りになったのですか？,1,1,0,0,支配
ご自分の健康ぐらい、しっかりと管理なさるべきです。,1,1,0,0,支配
ご謹慎中の身なのですから、外出はお控えください。,1,1,0,0,支配
先輩は京都の寺にこもって、謹慎なさるそうです。,1,1,0,0,支配
法令は厳しくご遵守ください。,1,1,0,0,支配
法令を遵守なさるのが企業の務めでございますからね。,1,1,0,0,支配
ご審議はまだ半ばですよ、これからが山場でございます。,1,1,0,0,支配
門限破りはご法度でございますよ。,1,1,0,0,支配
あなた、私を支配なさろうなんてとんでもないことです。,1,1,0,0,支配
ゴミ屋敷には、どんな法律を適用なさったんですか？,1,1,0,0,支配
あの方が、ハワイを統治なさった王様の末裔でございますか？,1,1,0,0,支配
お待たせいたしました、お昼のお支度ができました。,1,1,0,0,準備
そろそろ、お支度をなさってはいかがですか？,1,1,0,0,準備
式のお膳立ては、私どもにお任せください。,1,1,0,0,準備
お手配いただいたこと、感謝申し上げます。,1,1,0,0,準備
チケットを手配なさるなら、早い方がよろしいですよ。,1,1,0,0,準備
お手筈は、万事整えております。,1,0,1,0,準備
パーティーは、私たちがすべてお整えいたします。,1,0,1,0,準備
結婚式の式服をお調えいたしました。,1,0,1,0,準備
お嬢様のお嫁入り道具は、もう調えられましたか？,1,1,0,0,準備
転勤のご準備はお済みですか？,1,1,0,0,準備
お受験は、早めに準備なさった方がよろしいようですよ。,1,1,0,0,準備
紙と鉛筆のご用意をお願いいたします。,1,1,0,0,準備
会場には、皆様のお弁当をご用意しております。,1,0,1,0,準備
お祝いの品は、もう用意なさったんのですか？,1,1,0,0,準備
日頃から万一に備えていらっしゃるのは、よいお心がけですね。,1,1,0,0,準備
それはおめでとうございます、喜んで末席をお借り致します。,1,0,1,0,招待
どうぞお構いなく、お気軽にお出掛けください。,1,1,0,0,招待
久しくお声が掛かりませんでしたので、お電話させて頂きました,1,0,1,0,招待
。,1,1,0,0,招待
祝賀の催し、私どもにも、お声掛けくださいませ。,1,1,0,0,招待
明朝、是非おいで願いたく存じます。良いお知らせがございます。,1,0,1,0,招待
人気者にはいつも、一番に御座敷がかかるものです。,1,1,0,0,招待
次回はあなた様もお誘い致します。/来月の会にお誘い致します。,1,0,1,0,招待
やはりあなた様は彼女をお誘いになられるのですね。,1,1,0,0,招待
お疲れになられましたか？お茶にいたしましょうか。,1,0,1,0,招待
今日はお時間ございますか？映画を観に出掛けませんか？,1,1,0,0,招待
この度は、お招きにあずかりましたこと、ありがたく御礼申し上げます。,1,0,1,0,招待
来週のパーティーに、お招きしたく存じます。,1,0,1,0,招待
お招きにあずかるのは何度でも嬉しいものですね。/今日はご招待ですか？,1,1,0,0,招待
彼をこちらに呼んでまいりましょうか？,1,0,1,0,招待
当直の先生より、お呼び立てがあるかもしれませんよ。,1,1,0,0,招待
故郷の御酒ですが、どうぞ皆様で召し上がってください。,1,1,0,0,食
先生は本当に、お酒がお好きなんですねえ。,1,1,0,0,食
ビールが冷えてますよ。/ひとまずはビールですね。,1,1,0,0,食
本日は特別の日ですから、御酒でもいかがですか？,1,1,0,0,食
今日は冷えますので、お湯割りにしましょう。,1,1,0,0,食
私がお燗番を致します。/お燗がつくまで、暫しお待ちください。,1,1,0,0,食
そんなにお飲みになられたら、お体に障りますよ。,1,1,0,0,食
ご隠居は御酒を召し上がる時、大変嬉しそうです。,1,1,0,0,食
今夜もお酒を飲んでいらしたのですね。お顔が赤いですよ。,1,1,0,0,食
お酒も嗜まれる程度なら良いのですけどね。,1,1,0,0,食
随分とお酔いになられましたね。お冷やをどうぞ。,1,1,0,0,食
今日は何時に無く酔われていますね。,1,1,0,0,食
やはりお酒は口から迎えに行くのが良いですね。,1,1,0,0,食
ママが、お酌をしながらそっと囁いたことには驚きました。,1,1,0,0,食
そろそろ御積りに致しましょう。明日は早いですから。,1,1,0,0,食
お近付きの印に、一献いかがでしょうか？,1,1,0,0,食
出版を記念しまして、ご一献差し上げたく存じます。,1,0,1,0,食
それでは、お相伴させていただきたく存じます。,1,0,1,0,食
係長、駆け付け三杯、お注ぎ致します。,1,0,1,0,食
それでは、御流れを頂戴致します。,1,0,1,0,食
御流れ頂戴致しました。それでは御返杯を。,1,0,1,0,食
先輩より、お杯を頂戴いたしました。,1,0,1,0,食
お酒にはお強いでしょうか？,1,1,0,0,食
ウイスキーには弱いのでしょうか？,1,1,0,0,食
何とも不調法で申し訳ございません。/生憎、不調法でして。,1,0,1,0,食
ご愛敬に、一曲唄わせていただきたく存じます。,1,0,1,0,食
御指名がございましたので、一曲唄わせていただきます。,1,0,1,0,食
新入社員にお座敷芸を強要するのは良くないですよ。,1,1,0,0,食
先日のご宴会は、大変盛り上がったそうですね。,1,1,0,0,食
そのご酒宴は、連日連夜続いたそうです。,1,1,0,0,食
お味はいかがでしょうか？少し物足りないでしょうか？,1,1,0,0,食
お砂糖はいくつ使われますか？,1,1,0,0,食
御代わりはいかがでしょうか？/遠慮なく御代わりしてください。,1,1,0,0,食
何かお嫌いなものはございますか？,1,1,0,0,食
お口直しにシャーベット等、お召し上がりますか？,1,1,0,0,食
お口に合うと良いのですが。,1,1,0,0,食
どうぞ、お好きなものをお取りください。,1,1,0,0,食
お膳立てが整いましたので、どうぞお部屋の方へ。,1,1,0,0,食
松茸ご飯をお取りしましょうか？,1,0,1,0,食
冷たい飲み物でもいかがでしょうか？,1,1,0,0,食
何のおもてなしもできませんが…。どうぞ、ごゆっくりしていってください。,1,1,0,0,食
当店自慢の羊羹です、どうぞ召し上がってください。,1,1,0,0,食
何もございませんが、どうぞ、ごゆっくりしていってください。,1,1,0,0,食
何もございませんが、どうぞ、召し上がってください。,1,1,0,0,食
どうぞ、冷めないうちに召し上がりください。,1,1,0,0,食
鮨は別腹ですので、喜んでいただきます。,1,1,0,0,食
喜んでお相伴に預かりたく存じます。,1,0,1,0,食
こんなに美味しいワインは、久しぶりに口にしました。,1,1,0,0,食
先輩に作っていただいたお料理、とても美味しかったです。,1,1,0,0,食
御心尽くしの手料理を堪能させていただきました。,1,0,1,0,食
先生の手料理を振舞っていただくなんて、もったいないです。,1,1,0,0,食
お腹が膨れるほどいただきました。ご馳走様でした。,1,0,1,0,食
大変ご馳走になりまして、ありがとうございました。,1,1,0,0,食
手厚いおもてなしに大変感謝しております。,1,1,0,0,食
ご散財をおかけしてしまい、申し訳ございません。,1,0,1,0,食
御造作おかけしました、とても美味しかったです。,1,1,0,0,食
申し訳ありません、すっかりご馳走になってしまいました。,1,0,1,0,食
ご馳走様です、とても美味しくいただきました。,1,1,0,0,食
いいえ、お粗末様でございました。,1,0,1,0,食
お草々様でございます。,1,0,1,0,食
念のため、ゆっくり数えてみてくださいませ。,1,1,0,0,計算
私の分も足してくださいませ。,1,1,0,0,計算
先日の件のお見積もりの用紙をお持ちいたしました。,1,0,1,0,計算
ポスターの印刷費のお見積もりをいたします。,1,0,1,0,計算
イベントの実行予算の計算は細かい所まで正確にしてくださいませ。,1,1,0,0,計算
研修旅行の費用も、予算に含めていらっしゃるのですか？,1,1,0,0,計算
その土地をもう一度計測し直してはいかがでしょうか。,1,1,0,0,計算
今月の経費の集計をしてくださいませ。,1,1,0,0,計算
今期の決算の結果はいかがでしたか？/決算は既にお済みでいらっしゃいますか？,1,1,0,0,計算
その新事業で、採算が取れるのでしょうか？,1,1,0,0,計算
算定基準はどちらにございますか。,1,1,0,0,計算
算定されるのでしたら、明確な基準が必要かと存じます。,1,0,1,0,計算
昨年度の収益はいかがでしたか？,1,1,0,0,計算
オプショナルツアーに関しましては、別料金でございます。,1,1,0,0,計算
ご名算！という台詞を聞くと、算盤を思い浮かべます。,1,1,0,0,計算
専務、契約書の草案の作成をお願いいたします。,1,1,0,0,契約
役割分担をした方が、よいのではないでしょうか。,1,1,0,0,契約
初めてのお取引ですが、契約いたします。,1,0,1,0,契約
新たにご契約を交わしていただきまして、ありがとうございます。,1,1,0,0,契約
価格の見直しをしていただけるのでしたら、契約いたします。,1,0,1,0,契約
ご契約いただける方はどなたでしょうか。,1,1,0,0,契約
早めに契約を解消したご英断は素晴らしいとお思います。,1,1,0,0,契約
契約を解除する場合は、注意事項をよくお読みくださいませ。,1,1,0,0,契約
早めの解約が正解でございますよ。,1,1,0,0,契約
いま解約されるのは、そちらにとって不利益がと存じます。,1,0,1,0,契約
契約書をお書き直しくださいませ。,1,1,0,0,契約
明日の朝までに修正をお願いいたします。,1,0,1,0,契約
こちらに関しては、直していただいた方が、格段に良くなるかと存じます。,1,0,1,0,契約
契約書の訂正をなさるおつもりですか。,1,1,0,0,契約
こちらとこちらにご捺印お願いいたします。,1,0,1,0,契約
先生は万葉集に造形が深いです。,1,1,0,0,研究
教授は二十世紀最大の数学の難問を、ついに解き明かしました。,1,1,0,0,研究
万葉の研究をより深めるため、奈良に拠点を移されるようですね。,1,1,0,0,研究
金融不安に関して、先生のお考えをぜひお聞かせくださいませ。,1,1,0,0,研究
この句を、そのように解釈された理由をお聞かせください。,1,1,0,0,研究
この論文は、長年の研究の集大成なのですね。,1,1,0,0,研究
博士は何を研究していらっしゃるのですか？,1,1,0,0,研究
江戸文化に関しての先生のご考察、得心が行きました。,1,1,0,0,研究
新しく構築されたシステムは、実に素晴らしいものでございます。,1,1,0,0,研究
先生が構築された理論に、誰も意義を唱えることができません。,1,1,0,0,研究
何十年も続けて実験された熱意には、頭が下がる思いでございます。,1,1,0,0,研究
専門は仏文学でございますか、どうりでフランス映画にお詳しい訳です。,1,1,0,0,研究
大学院では、日本画を専攻されたとお伺いしておりますが。,1,0,1,0,研究
ご専門は江戸の遊郭史でございますか、興味深いですね。,1,1,0,0,研究
生命科学が、先生の専門分野でございます。,1,1,0,0,研究
この件は社に持ち帰らせてくださいませ。,1,0,1,0,検討する
本日は一旦この件はお預けということにいたしましょう。,1,1,0,0,検討する
もう一度じっくりお考えいただいた方がよろしいかと存じます。,1,0,1,0,検討する
その件に関しましては、また改めて考えさせてくださいませ。,1,0,1,0,検討する
もう少々お時間をいただけませんでしょうか。,1,0,1,0,検討する
どうぞじっくりとお手にとってご覧くださいませ。,1,1,0,0,検討する
充分にご検討いただいた方ががよろしいかと存じます。,1,0,1,0,検討する
もう少々検討させていただけませんでしょうか。,1,0,1,0,検討する
例の件でございますが、なんとかお考え直しいただけませんでしょうか。,1,1,0,0,検討する
もう一度お時間をかけてお考えいただけませんでしょうか。,1,1,0,0,検討する
そこで先生は思案を巡らせました。,1,1,0,0,検討する
部長は何かいいアイデアがないか、考えていらっしゃいます。,1,1,0,0,検討する
さようでございますか、念のため承ります。,1,1,0,0,検討する
大阪の一件は、棚上げにするおつもりでしょうか。,1,1,0,0,検討する
先生はお返事を保留にしております。,1,1,0,0,検討する
先生は二時間ほど時間を使って演説される予定です。,1,1,0,0,公
そのように公言を恐れていらっしゃるようなこと、有権者は忘れておりませんよ。,1,1,0,0,公
大臣は確かに年金は百年安心と公言していらっしゃいました。,1,1,0,0,公
党の選対から、公認が得られなかったそうでございますね。,1,1,0,0,公
減税の件は、公約の柱のひとつではなかったかと記憶しておりますが…。,1,1,0,0,公
公約として掲げたことに関しては責任もって遂行していただきたく存じます。,1,0,1,0,公
遂に出馬を決意されたのですね。,1,1,0,0,公
若手は、あなたが出馬されることに期待を寄せていらっしゃいますよ。,1,1,0,0,公
当選確実になりました。/ご当選、おめでとうございます。,1,1,0,0,公
ご子息が市議会議員にご当選されたそうですね。,1,1,0,0,公
党首は激戦区での遊説に向かわれました。,1,1,0,0,公
書記長は、全国各地で遊説していらっしゃいます。,1,1,0,0,公
与党は頼りがいがあるとは言いがたいですが、やはり支持されるのですか。,1,1,0,0,公
本気で政権を取るおつもりでございますか。,1,1,0,0,公
惜しくも落選という結果になってしまいましたが、気に病まれませんよう。,1,1,0,0,公
給料が入り次第、お返しいたします。,1,0,1,0,金
今年中に何とか、ご返済いただきたいのですが・・・。,1,1,0,0,金
宝くじを当てて、ローンを一括返済なさったんですって？,1,1,0,0,金
お困りのようですから、お貸ししましょう。,1,1,0,0,金
お金をお貸しになるのは、友人を失くすことですよ。,1,1,0,0,金
それでは、ありがたくお借りいたします。,1,0,1,0,金
少々、お借りいただいてもよろしいでしょうか？,1,0,1,0,金
現金をいかほどご入用ですか？,1,1,0,0,金
あの借財を肩代わりなさるとは、太っ腹ですね。,1,1,0,0,金
漁労長、五万円ほど、ご融通願えませんか？,1,1,0,0,金
少し、ご用立て願えませんか？,1,1,0,0,金
では、あなたを信用して、ご用立てしましょう。,1,1,0,0,金
度々ご催促いただいて恐縮ですが、もうしばらくお待ちください。,1,1,0,0,金
催促がましいことで、なんとも心苦しいのですが・・・。,1,0,1,0,金
あの方には、そろそろ催促なさる方がいいですよ。,1,1,0,0,金
お頭、本祭りには多大なご芳志をいただき感謝申し上げます。,1,1,0,0,金
お賽銭を盗む者がいるというのは驚きますね。,1,1,0,0,金
過分なご喜捨をいただきまして、ありがとうございます。,1,0,1,0,金
あそこへは応分に喜捨なさる方がよろしいかと存じます。,1,0,1,0,金
先代は社の発展を願って、社殿をご寄進になったのです。,1,1,0,0,金
社長は、感謝の意を表し、大神輿を寄進なさったのです。,1,1,0,0,金
ご寄贈の品、ありがたく頂戴いたします。,1,0,1,0,金
毎年、車椅子をご寄贈なさっているそうですね。,1,1,0,0,金
盲導犬普及のためのご寄付、ありがとうございます。,1,0,1,0,金
神輿改修のため、先生は多大な額を寄付なさったそうです。,1,1,0,0,金
あの大臣の凸凹会に献金なさっているそうですね。,1,1,0,0,金
会長から多額のご芳志をいただきました。,1,1,0,0,金
お客様へのご報謝を用意しておいていただけますよう、よろしくお願いいたします。,1,1,0,0,金
毎年、お祭りにはお酒を奉納なさっているそうですね。,1,1,0,0,金
ご遺言で、赤十字に募金なさるのですね？,1,1,0,0,金
お客様、不足分をお支払いいただけますか？,1,1,0,0,金
少々お待ちください、すぐにお支払いいたします。,1,0,1,0,金
税金をお支払になるなら、こちらの伝票です。,1,1,0,0,金
食事代は部長がお出しになりました。,1,1,0,0,金
現金でお支払いいたします。,1,0,1,0,金
お支払窓口は、1番から3番でございます。,1,1,0,0,金
一年間会費を滞納なさると、自動的に除名ですよ。,1,1,0,0,金
お月謝をお忘れの方はいらっしゃいませんか？,1,1,0,0,金
今月分のお家賃を持ってまいりました。,1,0,1,0,金
ご宿泊料のうち、消費税分をサービスしております。,1,1,0,0,金
このツアーのご料金は、お一人様十万円でございます。,1,1,0,0,金
息子さんの留学の費用も大変でしょう？,1,1,0,0,金
食べ盛りのお子さんが大勢で、ご出費がかさみますね。,1,1,0,0,金
忘年会のご予算は、いかほどですか？,1,1,0,0,金
初めてのお給金で、お母様にスカーフをプレゼントなさったんですって？,1,1,0,0,金
証券関係のお仕事ですと、お給料もよろしいのでしょうね？,1,1,0,0,金
先生へのお車代は、いかほどにすればよろしいでしょうか？,1,0,1,0,金
スタッフにまで過分なお心付け、ありがたく頂戴いたします。,1,0,1,0,金
おこづかいは大事に使わなければなりませんよ。,1,1,0,0,金
留守番をしていただいたので、お礼をお支払いさせていただきます。,1,0,1,0,金
教授がお茶代をはずんでくださいました。,1,1,0,0,金
子どもの頃、お使い賃を貯めてはプラモデルを買ったものです。,1,1,0,0,金
皆さまへのお手当は大丈夫でしょうか？,1,1,0,0,金
お年玉はお母様に預かっていただきましょう。「いえ、預けません」,1,0,1,0,金
今日はたくさんお捻りをお受け取りになられて、よかったですね。,1,1,0,0,金
大僧正が来てくださったんですから、お布施をはずみましょう。,1,1,0,0,金
ご祝儀を包んでおいていただけますよう、お願いいたします。,1,1,0,0,金
ご収入が急降下されて、大変でしょう。,1,1,0,0,金
親方は、ご報酬よりお仕事の中身が大事だとおっしゃっています。,1,1,0,0,金
歯がお痛みになるのですか？/アキレス腱はまだお痛みになるのですか？,1,1,0,0,体
転んで足をお痛めになったと伺いましたが。,1,0,1,0,体
ひどい転び方、鎖骨でもお折りになったんじゃありません？,1,1,0,0,体
どうなさったのですかそのお傷、猫にでも引っかかれたのですか？,1,1,0,0,体
お怪我の具合はいかがですか、とんだ災難でございましたね。,1,1,0,0,体
転んで怪我なさったんですか、何か考え事でも？,1,1,0,0,体
自転車でお転びになるとは、まあ、危ないですね。,1,1,0,0,体
よく転ばれますね。上げたつもりの足が上がってらっしゃらない。,1,1,0,0,体
おできの痕が、今でも背中にのこっているんですよ。,1,1,0,0,体
しばらく断酒なされば、ご出血の心配はございませんよ。,1,1,0,0,体
摂生なさらないと、また胃から出血なさるかもしれませんよ。,1,1,0,0,体
よく骨折なさるのですね、今回は肋骨ですか？,1,1,0,0,体
そのご病気、失明なさる心配はないのですか？,1,1,0,0,体
初めにきちんとお手当されないと、長引きますよ。,1,1,0,0,体
あなた、彼女をとても嬉しそうに介護なさっていたわ。,1,1,0,0,体
あのお店でコース料理を頂くのは面白味がないと思います。,1,1,0,0,食
白魚のおどりを召しあがったことがあるんでしょうか？,1,1,0,0,食
あの店の懐石コースを、もう召しあがったことがありますか？,1,1,0,0,食
さすが京の老舗ですね。結構なお手前でございました。,1,0,1,0,食
松坂牛のすき焼きを、ご堪能ください。,1,1,0,0,食
区切りのいいところで、お食事を召しあがりませんか？,1,1,0,0,食
しばらくは、病床でお粥を召しあがることですね。,1,1,0,0,食
エスカルゴを、召しあがることができますか？,1,1,0,0,食
瀬戸内の肴をご用意いたしました。どうぞお召し上がりください。,1,1,0,0,食
ご住職は健康のため、毎日蜂蜜を頂いているそうですよ。,1,1,0,0,食
野菜をお残しになってはいけませんね。,1,1,0,0,食
よく混ぜてから召しあがってください。,1,1,0,0,食
課長は何をお飲みになりますか？,1,1,0,0,食
のどが渇いたので、お冷を一杯いただけませんでしょうか？,1,0,1,0,食
お水を一杯頂きたいです。お願いいたします。,1,0,1,0,食
担当のものは別室におりますので、お電話を回させていただきます。,1,0,1,0,電話
ただいま他の電話にでてしまっております。,1,1,0,0,電話
お待ちいただけますでしょうか？,1,1,0,0,電話
わざわざお電話を頂戴申し上げまして…恐縮でございます。,1,0,1,0,電話
ただいま外出いたしております。,1,0,1,0,電話
おさしつかえございませんでしたら、私がご用件を拝命申し上げたく存じます。,1,0,1,0,電話
おさしつかえございませんでしたら、私が代わりましてご用件を承りたく存じます。,1,0,1,0,電話
恐れ入ります。お電話が遠いようで、もう一度仰っていただけますでしょうか？,1,1,0,0,電話
一度戻りまして調べた上で、改めましてお電話差し上げます。,1,0,1,0,電話
常々お電話ばかりで、失礼しております。,1,0,1,0,電話
担当の者が戻りましたら、折り返しお電話させます。,1,1,0,0,電話
ご伝言をお願いしたいのですが…。メモを残していただけますか？,1,1,0,0,電話
畏まりました。それでは、お電話をいただいたことを申し伝えます。,1,0,1,0,電話
番号をご確認いただきたいのですが、何番におかけですか？,1,1,0,0,電話
お電話代わりました。ご用件をお伺いするよう申し付かっております。,1,0,1,0,電話
お聞きになりたいのは、どのようなことでしょうか？,1,1,0,0,電話
今はじっと我慢なさってください。行動なさる時はきっと来ます。,1,1,0,0,取り込む
油絵の個展を開催されてのですか？,1,1,0,0,取り込む
今は行動されない方がよろしいかと存じます。,1,0,1,0,取り込む
どうぞ、その方針でお取り計らい下さいませ。,1,1,0,0,取り込む
このプロジェクトの推進役は貴殿をおいて他にないと存じます。,1,0,1,0,取り込む
会長、開発計画を推進なさるチャンスだと存じます。,1,0,1,0,取り込む
